Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,52.830002,54.450001,52.799999,53.849998,52.534122,8995400
2018-02-08,53.849998,53.900002,51.209999,51.230000,49.978146,12197900
2018-02-09,51.950001,52.000000,48.520000,50.459999,49.226959,19053400
2018-02-12,51.220001,52.490002,50.720001,52.049999,50.778103,10610200
2018-02-13,51.860001,52.290001,51.360001,52.169998,50.895172,8220600
2018-02-14,51.889999,52.580002,51.750000,52.200001,50.924442,7797900
2018-02-15,52.570000,53.160000,51.980000,52.950001,51.656116,4877800
2018-02-16,52.869999,53.520000,52.770000,52.849998,51.558556,5556500
2018-02-20,52.529999,53.209999,52.299999,52.470001,51.187843,6719400
2018-02-21,52.669998,54.389999,52.580002,53.160000,51.860981,7604700
2018-02-22,53.259998,53.450001,52.450001,52.549999,51.561718,4899800
2018-02-23,52.799999,53.480000,52.630001,53.459999,52.454605,4270200
2018-02-26,54.610001,54.799999,53.750000,54.689999,53.661472,7397700
2018-02-27,54.590000,55.009998,53.529999,53.619999,52.611595,5979200
2018-02-28,53.869999,54.500000,53.360001,53.900002,52.886333,6328200
2018-03-01,53.869999,54.959999,53.009998,53.349998,52.346672,7876800
2018-03-02,52.779999,53.430000,51.810001,53.259998,52.258366,6860500
2018-03-05,52.910000,54.090000,52.580002,53.790001,52.778400,5964000
2018-03-06,53.919998,54.110001,53.480000,53.840000,52.827461,4690900
2018-03-07,53.360001,53.660000,53.130001,53.529999,52.523289,4554400
2018-03-08,53.959999,55.009998,53.860001,54.639999,53.612415,6740700
2018-03-09,54.939999,56.090000,54.580002,56.090000,55.035145,6975900
2018-03-12,56.250000,56.480000,55.570000,56.160000,55.103828,6337600
2018-03-13,56.360001,57.009998,55.459999,56.590000,55.525745,9137400
2018-03-14,56.619999,57.259998,56.009998,56.150002,55.094017,7157000
2018-03-15,56.470001,56.549999,55.810001,56.340000,55.280445,4266300
2018-03-16,56.459999,57.310001,56.430000,56.689999,55.623859,6546600
2018-03-19,56.540001,56.730000,55.529999,55.959999,54.907589,6121000
2018-03-20,56.160000,56.720001,55.950001,56.500000,55.437435,4363500
2018-03-21,55.490002,56.360001,54.750000,55.950001,54.897778,9313900
2018-03-22,55.500000,56.000000,54.630001,54.669998,53.641850,6631400
2018-03-23,54.779999,55.209999,53.840000,53.900002,52.886333,7321400
2018-03-26,54.570000,55.279999,54.070000,55.060001,54.024517,5808800
2018-03-27,55.310001,55.480000,53.959999,54.259998,53.239563,6699600
2018-03-28,54.470001,54.869999,53.720001,53.930000,52.915768,7473500
2018-03-29,54.020000,55.220001,53.750000,54.810001,53.779217,5960300
2018-04-02,54.590000,54.630001,50.950001,51.950001,50.973003,10228200
2018-04-03,52.490002,53.770000,52.270000,53.720001,52.709717,6776300
2018-04-04,52.790001,53.980000,52.599998,53.860001,52.847084,6378300
2018-04-05,54.310001,54.480000,53.700001,54.209999,53.190502,4417800
